name,address,id,builder,sqft,lights,covered,url,elements,pinimage,photos,latitude,longitude,group
11th Street DIY,"499 E Lower 11th St, Tacoma, WA 98421, US",11thstDIY,DIY.,"7,800sqft",No,Covered.,https://www.instagram.com/11thstdiytacoma/,Opposing wide quarter pipes bowled out on the end with pump bumps and a spine in between. Constantly evolving.,diyparkpin,11th01.jpg 11th02.jpg,47.25442596,-122.430153,WA
"4-DirectionsSkatepark-PineRidge,SD","BIA Hwy 32, Pine Ridge, SD 57770, US",4-DirectionsSkatepark-PineRidgeSD,Grindline,"6,000sqft.",N/A,N/A,https://www.grindline.com/map/,Concrete Skatepark.,grindlinepin,pineridge01.jpg,43.02589953,-102.5671478,SD
7 PRESIDENTS SKATEPARK,"465 Ocean Blvd N, Long Branch, NJ 07740, US",7PRESIDENTSSKATEPARK,Spohn Ranch,"15,000 ft²",N/A,N/A,https://www.spohnranch.com/portfolio/long-branch-nj/,concrete park,spohnranchpin,7PRESIDENTSSKATEPARK01.jpg 7PRESIDENTSSKATEPARK02.jpg 7PRESIDENTSSKATEPARK03.jpg 7PRESIDENTSSKATEPARK04.jpg,40.31986984,-73.97802953,NJ
7 PRESIDENTS SKATEPARK PHASE 2,"465 Ocean Blvd N, Long Branch, NJ 07740, US",7PRESIDENTSSKATEPARKPHASE2,Spohn Ranch,"5,000 ft²",N/A,N/A,https://www.spohnranch.com/portfolio/7-presidents-skatepark-phase-2/,concrete park,spohnranchpin,7PRESIDENTSSKATEPARKPHASE201.jpg 7PRESIDENTSSKATEPARKPHASE202.jpg 7PRESIDENTSSKATEPARKPHASE203.jpg,40.31984611,-73.97802851,NJ
Abenraa Skatepark,"Nyløkke 4, 6200 Aabenraa, Denmark",aabenraaDK,SNEArchitects.,"2,750.12 ft² (255.49 m²)",No,No,http://www.snearchitects.com/project/aabenraa-skate-park/\nhttp://www.skateboard.com.au/skateparks/denmark/aabenraa-skatepark/,Concrete flow bowl with street elements.,othergoodparkpin,DKaabenraa.jpg DKaabenraa1.jpg DKaabenraa2.jpg DKaabenraa3.jpg DKaabenraa4.jpg DKaabenraa5.jpg DKaabenraa6.jpg DKaabenraa7.jpg,55.061859,9.409161,DK
Aberdeen Skatepark,"E Perry St & S Dewey St, Aberdeen, WA 98520, US",aberdeen,N/A,"8,825.35 ft²",No,No,http://www.northwestskater.com/aberdeenwa.html,Concrete Skatepark.,skateparkpin,aberdeen.jpg aberdeen2.jpg,46.966893,-123.791663,WA
Adams Skatepark,"Commercial St & Morrison St, Adams, OR 97810, US",adamsOR,N/A,"2,036.52 ft²",No,No,http://www.northwestskater.com/adams.html,Concrete Skatepark.,skateparkpin,OREGONadams1.jpg OREGONadams2.jpg OREGONadams3.jpg OREGONadams4.jpg,45.768467,-118.564015,OR
Adams,"230 Morrison St, Adams, OR 97810, US",Adamsor,Dreamland.,"2,500 sqft.",N/A,N/A,https://www.dreamlandskateparks.com/oregon,N/A,dreamlandpin,adams01.jpg  adams02.jpg,45.76845902,-118.5640141,OR
Agedrup Skatepark,"Brolandvej 16, 5320 Agedrup, Denmark",Agedrup SkateparkDK,FSR,480 m²,N/A,N/A,https://fsrbeton.dk/projekter/agedrup/,Concrete Skatepark.,fsrbetonpin,agedrupfsr01.jpg,55.43022797,10.48115009,DK
Albany Skatepark,"1375 SE 6th Ave, Albany, OR 97321, US",albanyOR,N/A,"10,527.85 ft²",No,No,http://www.northwestskater.com/albanyOR.html,Concrete Skatepark.,skateparkpin,OREGONalbany1.jpg OREGONalbany2.jpg OREGONalbany3.jpg OREGONalbany4.jpg,44.635324,-123.088616,OR
